AT_SERIAL,DATE,LOAD_ZONE_LAT,LOAD_ZONE_LON,Latitude,Longitude,HEX,DZ_LZ_TRAVEL_START,DZ_LZ_TRAVEL_END,DZ_LZ_TRAVEL_DURATION,DZ_LZ_DISTANCE_TRAVELED_KM,D_L_AT_FUEL,DZ_LZ_AVG_SPD,25METER_QUEUE_ZONE_ENTER,25METER_QUEUE_ZONE_END,QUEUE_ZONE_DURATION,AT_LOADING_START,AT_LOADING_END,AT_LOADING_DURATION,AT_DUMP_START,AT_DUMP_END,AT_DUMP_DURATION,LZ_DZ_TRAVEL_DURATION,LZ_DZ_DISTANCE_TRAVELED_KM,L_D_AT_FUEL,LZ_DZ_AVG_SPD,CYCLE_TIME,D_L_IDLE,D_L_TRAVEL_ONLY,L_D_IDLE,L_D_TRAVEL_ONLY,D_L_IDLE_PERCENT,L_D_IDLE_PERCENT,QUEUE_PERCENTAGE,LOADING_PERCENTAGE,L_D_TRAVEL_PERCENTAGE,D_L_TRAVEL_PERCENTAGE,Capacity,cycleid,zone,site,Day,DailyRainfall,TractorTime,AT_MODEL
B1P06067,"2015-06-23 00:00:00",30.052,-95.6477,30.052,-95.648,HPD00128,"2015-06-23 08:15:54","2015-06-23 08:23:19","0 days 00:07:25",0.39,2.70028384918,1.6913443722,"2015-06-23 08:18:03","2015-06-23 08:21:20",3.283333333333333,"2015-06-23 08:21:19","2015-06-23 08:23:19",120.0,"2015-06-23 08:25:35","2015-06-23 08:25:55",20,"0 days 00:02:16.000000000",0.35,2.78466003082,5.35,10.033333333333333,211.0,114.0,0.0,136.0,35.0,0.0,33.0,20.0,23.0,19.0,31.4,38,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.052,-95.6448,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 08:23:19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.052,-95.6477,30.052,-95.648,HPD00128,"2015-06-23 08:25:56","2015-06-23 08:31:34","0 days 00:05:38",0.38,2.25672473931,2.18541100295,"2015-06-23 08:29:24","2015-06-23 08:29:38",0.23333333333333334,"2015-06-23 08:29:37","2015-06-23 08:31:34",117.0,"2015-06-23 08:34:06","2015-06-23 08:34:23",17,"0 days 00:02:32.000000000",0.4,2.97097489177,5.14,8.466666666666667,101.0,120.0,0.0,152.0,20.0,0.0,3.0,23.0,30.0,24.0,31.4,39,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.052,-95.6446,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 08:31:34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.052,-95.6477,30.052,-95.648,HPD00128,"2015-06-23 08:34:24","2015-06-23 08:44:17","0 days 00:09:53",1.27,4.89671902997,4.27481947987,"2015-06-23 08:36:04","2015-06-23 08:42:25",6.35,"2015-06-23 08:42:24","2015-06-23 08:44:17",113.0,"2015-06-23 08:46:45","2015-06-23 08:47:01",16,"0 days 00:02:28.000000000",0.4,3.14306672931,5.4,12.633333333333333,187.0,293.0,0.0,148.0,25.0,0.0,50.0,15.0,20.0,39.0,31.4,40,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.052,-95.6445,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 08:44:17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.6477,30.052,-95.648,HPD00128,"2015-06-23 08:47:02","2015-06-23 08:50:40","0 days 00:03:38",0.47,2.03531422013,3.97395493151,"2015-06-23 08:48:36","2015-06-23 08:48:52",0.26666666666666666,"2015-06-23 08:48:50","2015-06-23 08:50:40",110.0,"2015-06-23 08:53:24","2015-06-23 08:53:42",18,"0 days 00:02:44.000000000",0.44,3.29085715616,5.29,6.683333333333334,0.0,108.0,1.0,163.0,0.0,0.0,4.0,27.0,41.0,27.0,31.4,41,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0519,-95.6444,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 08:50:40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.6477,30.052,-95.648,HPD00128,"2015-06-23 08:53:43","2015-06-23 08:57:02","0 days 00:03:19",0.44,1.98321301932,4.0290226,"2015-06-23 08:55:11","2015-06-23 08:55:24",0.21666666666666667,"2015-06-23 08:55:23","2015-06-23 08:57:02",99.0,"2015-06-23 08:59:25","2015-06-23 08:59:42",17,"0 days 00:02:23.000000000",0.42,2.88111591791,5.77,6,0.0,100.0,3.0,140.0,0.0,1.0,4.0,28.0,39.0,28.0,31.4,42,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0521,-95.6445,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 08:57:02",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.6478,30.052,-95.648,HPD00128,"2015-06-23 08:59:43","2015-06-23 09:07:53","0 days 00:08:10",0.46,3.01167226293,1.64496697154,"2015-06-23 09:04:13","2015-06-23 09:06:23",2.1666666666666665,"2015-06-23 09:06:22","2015-06-23 09:07:53",91.0,"2015-06-23 09:10:19","2015-06-23 09:10:33",14,"0 days 00:02:26.000000000",0.4,2.99371859478,5.54,10.85,277.0,122.0,0.0,146.0,43.0,0.0,20.0,14.0,22.0,19.0,31.4,43,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0521,-95.6444,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 09:07:53",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.6478,30.052,-95.648,HPD00128,"2015-06-23 09:10:34","2015-06-23 09:14:26","0 days 00:03:52",0.43,2.07841556138,3.58805008547,"2015-06-23 09:12:04","2015-06-23 09:12:19",0.25,"2015-06-23 09:12:18","2015-06-23 09:14:26",128.0,"2015-06-23 09:17:08","2015-06-23 09:17:23",15,"0 days 00:02:42.000000000",0.44,3.43605901829,5.32,6.833333333333333,0.0,104.0,0.0,162.0,0.0,0.0,4.0,31.0,40.0,25.0,31.4,44,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0519,-95.6443,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 09:14:26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.6478,30.052,-95.648,HPD00128,"2015-06-23 09:17:24","2015-06-23 10:23:02","0 days 01:05:38",1.18,12.0036977612,0.58093625894,"2015-06-23 09:36:41","2015-06-23 10:20:58",44.28333333333333,"2015-06-23 10:20:57","2015-06-23 10:23:02",125.0,"2015-06-23 10:25:19","2015-06-23 10:25:37",18,"0 days 00:02:17.000000000",0.43,2.92409363969,6.14,68.23333333333333,3496.0,317.0,0.0,137.0,85.0,0.0,65.0,3.0,3.0,8.0,31.4,45,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.052,-95.6444,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 10:23:02",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.6478,30.052,-95.648,HPD00128,"2015-06-23 10:25:38","2015-06-23 10:29:32","0 days 00:03:54",0.45,2.12059779681,3.60377851064,"2015-06-23 10:27:15","2015-06-23 10:28:02",0.7833333333333333,"2015-06-23 10:28:00","2015-06-23 10:29:32",92.0,"2015-06-23 10:31:58","2015-06-23 10:32:14",16,"0 days 00:02:26.000000000",0.44,3.06515181344,5.98,6.616666666666667,24.0,118.0,0.0,146.0,6.0,0.0,12.0,23.0,37.0,30.0,31.4,46,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.052,-95.6443,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 10:29:32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.6478,30.052,-95.648,HPD00128,"2015-06-23 10:32:15","2015-06-23 10:36:40","0 days 00:04:25",0.46,2.18919252945,3.11406022556,"2015-06-23 10:33:42","2015-06-23 10:34:44",1.0333333333333334,"2015-06-23 10:34:41","2015-06-23 10:36:40",119.0,"2015-06-23 10:39:19","2015-06-23 10:39:36",17,"0 days 00:02:39.000000000",0.46,3.27724354427,5.59,7.366666666666666,39.0,107.0,0.0,159.0,9.0,0.0,14.0,27.0,36.0,24.0,31.4,47,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.052,-95.6443,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 10:36:40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.6478,30.052,-95.648,HPD00128,"2015-06-23 10:39:37","2015-06-23 10:53:30","0 days 00:13:53",1.2,5.12393202776,2.82253853717,"2015-06-23 10:41:08","2015-06-23 10:51:27",10.316666666666666,"2015-06-23 10:51:26","2015-06-23 10:53:30",124.0,"2015-06-23 10:56:08","2015-06-23 10:56:27",19,"0 days 00:02:38.000000000",0.48,3.26912728639,6,16.85,435.0,274.0,1.0,157.0,43.0,0.0,61.0,12.0,16.0,27.0,31.4,48,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.052,-95.6443,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 10:53:30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.6478,30.052,-95.648,HPD00128,"2015-06-23 10:56:28","2015-06-23 11:08:11","0 days 00:11:43",0.64,3.77695576334,1.78530855035,"2015-06-23 10:58:23","2015-06-23 11:06:32",8.15,"2015-06-23 11:06:28","2015-06-23 11:08:11",103.0,"2015-06-23 11:10:42","2015-06-23 11:11:05",23,"0 days 00:02:31.000000000",0.48,3.13000534335,6.13,14.633333333333333,410.0,190.0,0.0,151.0,47.0,0.0,56.0,12.0,17.0,22.0,31.4,49,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.052,-95.6441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 11:08:11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.6479,30.052,-95.648,HPD00128,"2015-06-23 11:11:06","2015-06-23 11:15:15","0 days 00:04:09",0.45,2.20834845293,3.528954676,"2015-06-23 11:13:03","2015-06-23 11:13:20",0.2833333333333333,"2015-06-23 11:13:19","2015-06-23 11:15:15",116.0,"2015-06-23 11:17:51","2015-06-23 11:18:09",18,"0 days 00:02:36.000000000",0.45,3.30473141868,5.83,7.066666666666666,7.0,126.0,0.0,156.0,2.0,0.0,4.0,27.0,37.0,30.0,31.4,50,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0521,-95.6441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 11:15:15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.6479,30.052,-95.648,HPD00128,"2015-06-23 11:18:10","2015-06-23 11:21:56","0 days 00:03:46",0.49,2.45880360611,4.2566039207,"2015-06-23 11:19:56","2015-06-23 11:20:08",0.2,"2015-06-23 11:20:07","2015-06-23 11:21:56",109.0,"2015-06-23 11:25:00","2015-06-23 11:25:18",18,"0 days 00:03:04.000000000",0.45,3.47761976296,4.92,7.15,0.0,117.0,17.0,167.0,0.0,4.0,3.0,25.0,39.0,27.0,31.4,51,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0521,-95.6441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 11:21:56",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.052,-95.6442,30.052,-95.644,HPD00128,"2015-06-23 11:25:19","2015-06-23 11:33:43","0 days 00:08:24",0.96,5.94262521696,3.6457809073,"2015-06-23 11:25:19","2015-06-23 11:31:46",6.45,"2015-06-23 11:27:11","2015-06-23 11:29:09",118.0,"2015-06-23 11:43:15","2015-06-23 11:43:43",28,"0 days 00:09:32.000000000",1.93,6.80966960293,6.73,18.416666666666668,120.0,266.0,135.0,711.0,11.0,12.0,35.0,11.0,64.0,24.0,31.4,52,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0525,-95.6298,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 11:29:09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0524,-95.6385,30.052,-95.638,HPD00128,"2015-06-23 11:43:44","2015-06-23 11:58:50","0 days 00:15:06",3.12,12.1661553092,6.82275868427,"2015-06-23 11:46:00","2015-06-23 11:56:11",10.183333333333334,"2015-06-23 11:49:18","2015-06-23 11:51:33",135.0,"2015-06-23 12:02:41","2015-06-23 12:03:08",27,"0 days 00:03:51.000000000",1.13,2.92828508268,9.65,19.416666666666668,163.0,608.0,163.0,505.0,14.0,14.0,52.0,12.0,43.0,52.0,31.4,53,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0524,-95.6284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 11:51:33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0525,-95.6305,30.052,-95.63,HPD00128,"2015-06-23 12:03:09","2015-06-23 12:55:28","0 days 00:52:19",5.47,20.4803020143,3.43264613622,"2015-06-23 12:34:27","2015-06-23 12:54:32",20.083333333333332,"2015-06-23 12:44:47","2015-06-23 12:46:34",107.0,"2015-06-23 12:56:58","2015-06-23 12:57:24",26,"0 days 00:01:30.000000000",0.07,0.53966336413,1.95,54.266666666666666,1952.0,1080.0,83.0,541.0,60.0,3.0,37.0,3.0,17.0,33.0,31.4,54,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0526,-95.6307,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 12:46:34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.648,30.052,-95.648,HPD00128,"2015-06-23 12:57:25","2015-06-23 13:05:22","0 days 00:07:57",1.94,5.16528685583,7.98753972803,"2015-06-23 13:02:28","2015-06-23 13:03:37",1.15,"2015-06-23 13:03:36","2015-06-23 13:05:22",106.0,"2015-06-23 13:12:10","2015-06-23 13:12:32",22,"0 days 00:06:48.000000000",2,7.90860100358,9.87,15.133333333333333,51.0,320.0,0.0,408.0,6.0,0.0,8.0,12.0,45.0,35.0,31.4,55,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0525,-95.6304,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 13:05:22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.648,30.052,-95.648,HPD00128,"2015-06-23 13:12:33","2015-06-23 13:19:31","0 days 00:06:58",2.06,5.25506240121,9.69766937947,"2015-06-23 13:17:48","2015-06-23 13:18:00",0.2,"2015-06-23 13:17:59","2015-06-23 13:19:31",92.0,"2015-06-23 13:27:40","2015-06-23 13:28:02",22,"0 days 00:08:09.000000000",2.05,8.52969444692,8.36,15.5,0.0,326.0,0.0,489.0,0.0,0.0,1.0,10.0,53.0,35.0,31.4,56,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0525,-95.6302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 13:19:31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.0519,-95.648,30.052,-95.648,HPD00128,"2015-06-23 13:28:03","2015-06-23 13:36:51","0 days 00:08:48",2.08,5.62653237923,7.76502383743,"2015-06-23 13:34:22","2015-06-23 13:34:38",0.26666666666666666,"2015-06-23 13:34:37","2015-06-23 13:36:51",134.0,"2015-06-23 13:44:43","2015-06-23 13:45:04",21,"0 days 00:07:52.000000000",2.03,9.07098403807,8.59,17.033333333333335,22.0,372.0,0.0,472.0,2.0,0.0,2.0,13.0,46.0,36.0,31.4,57,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0525,-95.6303,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 13:36:51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,Dump,"Ranger SH 99",2015-06-23,0,0,740
